job_title,company_name,experience,salary,location,job_description,role,industry_type,department,employment_type,role_category,education,key_skills,date_posted,num_openings,num_applicants,experience_bins
Data Analyst (0-2yrs) Bangalore,Gupta And Sharma,0 - 2 years,"₹ 3,50,000 - 6,00,000 P.A.",Bangalore/Bengaluru,"Roles and Responsibilities
Acquiring data from primary or secondary data sources in various formats
Data Import and Collation
Inspecting, Cleaning, Validation, Updating and transforming data to provide required information / MIS
Preparing reports in conformity to business rules and in desired format
Collaborating with other employees / departments to determine areas of improvement in relation to data
SQL, Designing databases and Data systems
Maintaining databases and data systems by addressing errors and monitoring performance

Desired Candidate Profile
Strong knowledge of and experience with SQL (Oracle, PL/SQL, etc)
Strong analytical skills with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Knowledge of reporting packages (Oracle Reports, etc), programming (Java, Python, C# etc)
Knowledge of statistics and packages for analyzing datasets (Excel, SAS, Power BI, etc)
BTech (Computer Science) / BS in Mathematics, Economics, Computer Science, Information Management or Statistics / Other Graduates with relevant experience and certification

Job Benefits & Perks
Day Shift, Learning opportunities, PF/ESI (as applicable), Annual bonus, Gratuity, Teamwork, Corporate working environment at a leading bank in Whitefield, Bangalore",Data Analyst,Banking,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"B.Tech/B.E. in Computers, B.Sc in Computers, BCA in Computers","['plsql', 'excel', 'data analysis', 'sas', 'oracle sql', 'oracle reports']",1 day ago,3.0,2647,0-2
French Data Analyst,Randstad,0 - 1 years,"₹ 2,50,000 - 3,50,000 P.A.",PAN,"Roles and Responsibilities

Job Description:
As a Data Analyst (Bi-lingual French), you will help Numerator improve its ever-growing
database of products by using our custom-designed platform to match real-world products to
their respective brands and categories. You will have a key role in contributing and
maintaining our different categories of data that our clients use for insight into answering their
business questions.
While data entry experience is a plus, we will train candidates that have the right attitude,
drive, and a thirst for knowledge. What we insist upon is cooperation and flexibility to support
the team with various projects and assignments.
Job Responsibilities:
Effectively work on multiple projects within your assigned vertical (e.g. small/medium
businesses, durables, consumer packaged goods, retail, Panel of Record, agency).
Match items from shopping receipts and internet websites to their respective brands
and product categories.
Research brands and specific products online to gather specific data and insights.
Assist in maintaining the integrity of our data by ensuring entries made into our
platform are accurate.
Meet due dates communicated by your vertical leader to support our solutions and
services teams.
Shift Timing:
Afternoon Shift: 3:00 pm to 11:30 pm IST
Location: REMOTE (Candidates can work remotely from their current location)
Requirements:
Bilingual in French and English required
Bachelors degree preferred, but not required.
Self-motivated with exceptional organizational skills.
Basic Excel proficiency.
Have strong written and verbal skills.
Must be detail-oriented and able to work independently

Desired Candidate Profile

Certified in any French course 9B1 B2 C1 C2)
(or)
Graduate in BA or MA French

Perks and Benefits

INR 3,50,000 + 5% Annual Performance Bonus
Benefits package including Mediclaim, Accidental Insurance, Term Life Insurance
and more",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Bi-lingual French', 'French Data Analyst']",1 day ago,,145,0-2
Data Analyst,Namdhari Seeds,0 - 2 years,Not Disclosed,Bangalore/Bengaluru,"Roles and Responsibilities
Create and validate report of supply chain operations on daily basis.
Develop MIS process improvements for increased efficiency.
Create meaningful data analytical reports/dashboards.
Coordinate with the supply chain & operations team to get inputs and extract data from internal systems.
Should be able to analyze large sets of disconnected data from a Business, Operations and Planning standpoint.
Provide Data insights to internal team through reports and proactively communicate inventory levels, order plans, etc.
Perform data analysis on generating reports on periodic basis.
Provide strong reporting and analytical information support to management team.
Additional duties and responsibilities assigned by the supervisor.

Desired Candidate Profile
PGDM-ABM (Freshers or 2 years of experience)
Ability to plan and manage multiple activities in a fast-paced environment
Sound knowledge in data analytics tools and techniques.
Knowledge in Advanced level of MS Office applications especially Excel.
Knowledge of Pivot Table, Chart, Text column & Lookups, V&H Lookup functions etc.
Perform data analysis and generate MIS",Other,Agriculture / Forestry / Fishing,Other,"Full Time, Permanent",Other,MBA/PGDM in Any Specialization,"['supply chain operations', 'data analytics', 'dashboards']",13 days ago,,8751,0-2
Business Analyst/ Software Analyst/ Data Analyst,Optiontown,0 - 2 years,"₹ 4,00,000 - 7,00,000 P.A.",Delhi,"Analysts will leverage analytic, quantitative & technological skills to derive insights & solve problems.
Design algorithms for enhancement of existing & future e-commerce products.
Establish price & competitive intelligence process for products.",Business Analyst,Aviation,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,B.Tech/B.E. in Any Specialization,"['Analysis', 'Predictive Modeling', 'Requirement Gathering', 'Data Mining', 'Data Extraction', 'UAT', 'Analytics', 'SQl', 'Business Analysis', 'Excel', 'Brd', 'Data Analysis', 'FRD', 'Data Analytics', 'CRM']",1 day ago,,1358,0-2
HR Data Analyst,Walmart,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,"Data Analyst - TA Position summary:
Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans
by providing expert advice and guidance to others in the application of information and best practices; supporting and
aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales.
Provides and supports the implementation of business solutions by building relationships and partnerships with key
stakeholders; identifying business needs; determining and carrying out necessary processes and practices;
monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to
competing demands, organizational changes, and new responsibilities.
About Global Tech.
Imagine working in an environment where one line of code can make life easier for hundreds of millions of people and
put a smile on their face. Thats what we do at Walmart Global Tech. Were a team of 15,000+ software engineers,
data scientists and service professionals within Walmart, the world’s largest retailer, delivering innovations that
improve how our customers shop and empower our 2.3 million associates. To others, innovation looks like an app,
service or some code, but Walmart has always been about people. People are why we innovate, and people power
our innovations. Being human-led is our true disruption.
Responsibilities
• Consolidate key TA metrics, data and reports from different sources including the ATS, HR Systems, Offline
data archives, HM, Candidate & new hire surveys, and other sources.
• Analyze data sets, publish dashboards for compliance against defined KPI’s, identify key trends and
patterns around key metrics, input metrics & end results;
• Conceptualize, Publish global and local metrics/dashboards to provide oversight and insights on
performance and trends
• Proactively identify opportunities for improvement by leveraging data analytics and report out to TA
leadership
• Partner with TA leadership to build re-usable data templates, knowledge repository, by documenting data
sources, methodologies and approaches
• Work closely with IDC/global data analysts to provide a unified view of data/metrics/analytics as necessary
Our Ideal Candidate
• 3+ years in a data analytics role, some of it preferably in TA/HR domain
• Strong fundamentals on data practices, ability to quickly shift between large transactional data output &
strategic analytics
• Expertise in MS Excel & Tableau, Workday working knowledge of SQL, scripting/macros
• Strong analytical skills, business acumen, problem solving skills
• Ability to translate large data sets into meaningful insights
• Experience or knowledge of HR procedures and systems relating to workforce reporting, recruiting, learning,
performance management, and general people data would be advantageous.
Walmart Inc. is an Equal Opportunity Employer – By Choice. We believe we are best equipped to help our
associates, customers and the communities we serve live better when we really know them. That means
understanding, respecting and valuing diversity- unique styles, experiences, identities, ideas and opinions – while
being inclusive of all people.",HR Analyst,Software Product,Human Resources,"Full Time, Temporary/Contractual",HR Operations,Any Graduate,"['Excel Report Preparation', 'excel', 'data analytics', 'Pivot', 'Power Point Presentation', 'Tableau']",Few Hours Ago,,50,2-5
SAP - Master Data Analyst,Persolkelly India,0 - 2 years,Not Disclosed,Chennai,"  Facilitate the implementation and support for SAP MM modules including basic to detailed functions of data
In collaboration with subject matter experts and data stewards, defines and implements data strategy, policies, controls, and programs to ensure the enterprise data is accurate, complete, secure, and reliable.
Conducts data cleaning to rid the system of old, unused data, or duplicate data for better management and quicker access.
Take ownership for global data management, governance, and data quality of master data requirements with other functional data owners to ensure functional master data integrity across the operation of financial systems is consistent and meets stated business rules and requirements.
Map business requirements, processes and objectives; develops necessary product modifications to satisfy business needs.
Identify gaps, issues and work around solutions.
Connect with internal stake holders for troubleshooting: investigate, analyze, and solve business problems.
Requirements
Minimum of 0 to 2 years of experience on maintaining master data in SAP MM module.
Bachelors degree or equivalent combination of education.
Must be able to work globally and communicate effectively with stakeholders.
Flexible to work in rotational shift.
Thirst for knowledge and eagerness to learn Business and grow skills in new areas.
Skills and competencies
A can-do attitude in responding, leading and effecting changes
Go the extra mile to do his/her work and to achieve the success
Be truthful and act with integrity and deliver on promises
Very good oral and written communication skills
Ability to work in a fast paced, multi-tasking, high transaction team environment
Ability to complete work in situations with tight turnarounds and deadlines
 ",Business Analyst,Recruitment / Staffing,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['SAP MM module', 'Data management', 'Finance', 'business rules', 'Data quality', 'data integrity', 'Data Analyst', 'Troubleshooting', 'Information technology', 'Steward']",5 days ago,1.0,263,0-2
Data Scientist/Quantitative Analyst with R Programming,Solytics Partners,0 - 5 years,Not Disclosed,Pune,"Solytics Partners seeks a strong Data Scientist/Quantitative Analyst with strong knowledge of building Statistical/ML models, strong and proven R programming skills, and should have good English communication skills, both verbal and written. The candidate will work on the development, validation, implementation, monitoring, and maintenance of quantitative models.

Responsibilities:-
Develop forecasting and probability scoring models and perform statistical analysis and modeling.
Develop pattern recognition algorithms using machine learning and artificial intelligence techniques.
Quantitative analysis, including data mining, cleaning, creatively tackling information gaps, and, synthesizing findings into meaningful and actionable intelligence.
Automate various processes using R.
Designing and developing BI reports and Dashboards.
Write and maintain documentation to describe program development, logic, coding, testing changes, and corrections.
Extracts existing data to manipulate/calculate/format/combine into presentable reports, charts, and graphs. Analyze and interpret data to find outliers, understand root causes, business impact, correlations/discrepancies, and propose changes/alternate solutions.
Analyzes and mines data in the various data sources to explain t ds that appear on standard reports. Interprets data and develops recommendations based on findings.

Key Skills:-
Hands-on with Strong experience in advanced R programming.
Experience with Predictive Analytics, Machine Learning and advanced analytics.
Data analysis with a statistical background in time series analysis, regression analysis, or hypothesis with R
Well understanding and proven experience with R packages like dplyr, mlr, CARET, lubridate, glm2, xgboost, DT, ggplot, shiny etc.
Strong Data Mining/Data Scrubbing and Data Manipulation skills using R
Strong understanding of and experience in the banking domain
Experience visualizing data via BI reporting tools
Ability to work effectively in cross functional teams, including country/regions business stakeholders, model validation and governance teams, and model implementation team.
Ability to communicate technical information verbally and in writing to both technical and non-technical audiences.
Experience in developing/validating methodology for quantitative analysis.
Strong expertise in R, SAS, Excel-VBA, SQL etc.,
Having experience in Finance domain is preferred.",Data Science & Analytics - Other,Financial Services,Data Science & Analytics,"Full Time, Permanent",Data Science & Analytics - Other,Other Post Graduate,"['Advanced Analytics', 'Machine Learning', 'Statistics', 'R Program', 'Predictive Analytics', 'Data Manipulation', 'Data Analysis', 'Bi Reporting Tools', 'Data Mining']",Just now,,10,0-2
"Lead - Data Analyst (Big Data, PySpark)",Citicorp Finance,7 - 12 years,Not Disclosed,Chennai,"Who we are

With Citi's Analytics & Information Management (AIM) group, you will do meaningful work from Day 1. Our collaborative and respectful culture lets people grow and make a difference in one of the worlds leading Financial Services Organizations. The purpose of the group is to use Citis data assets to analyze information and create actionable intelligence for our business leaders. We value what makes you unique so that you have opportunity to shine. You also get the opportunity to work with the best minds and top leaders in the analytics space.

What the role is

The role of Office Business Intelligence will be part of AIM Customer Experience BI team based out of Chennai, India.
In this role, you will work alongside a highly talented team of analysts to build data and visualization solutions to identify key business initiatives, measure their success and support the organization’s client obsession goals by providing a superior client experience.
You will be responsible for the day to day running, upkeep and optimization of BI assets as well as cater to emerging business needs in a responsive manner.
You will be an SME in the group, support and mentor the team on technical solutioning and should be ready to lend your hand to juniors when needed.

Who you are

Data Driven. A proven track record of enabling decision making and problem solving with data. Conceptual thinking skills must be complemented by a strong quantitative orientation and data driven approach.
Excellent Problem Solver. You are a critical thinker, able to ask right questions, make sense of a situation and come up with intelligence solution.
Strong Team Player. You build a trusted relationships with your team members. You are ready to offer unconditional assistance, will listen, share knowledge, and are always ready to provide support as needed.
Strong Communicator. You can communicate verbally and through written communication with clarity and can structure and present your work to senior leadership.
Clear Results Orientation. You display a keen focus on achieving both short and long-term goals and have experience driving and executing an agenda in a demanding and fast-paced environment, with an eye on risks & controls.
Innovative. You are always challenging yourself and your team to find better and faster ways of doing things.
What you do

Data Exploration. Understand underlying data sources by dwelling into multiple platforms scattered across the organization. You do what it takes to gather information by connecting with people across business teams and technology.
Build Data Assets. You have a strong data design background and are capable of developing and building multi-dimensional data assets that captures abundant information about various line of business.
Process & Controls Orientation. You not only adhere to existing process and controls, also continuously monitor, question and identify potential process improvements. Create clear process documents, oversee across team and ensure they are always up to date.
Dashboarding and Visualization. You develop insightful, visually compelling and engaging dashboards that supports decision making and drive adoption.
Automation.
Flawless Execution. Manage and sequence delivery of reporting and data needs for yourself and juniors in the team. Become a SME in the team, understand business requirement and translate it into executable steps for the team members, support and troubleshoot issues, identify root cause, perform code review, share best practices, and be the final sign-off authority for team deliverables.
Qualifications

8+ years of work experience largely in the Business Intelligence & Data Management space
Minimum of 2 years of experience mentoring juniors and driving projects independently as senior analyst.
Strong understanding of Data modelling concepts and excellent SQL skills
Exposure to one or more programming languages Python, SAS
Hands-on experience using Python libraries, PySpark etc. for big data engineering
Working experience on Excel and BI Visualization tools like Tableau, Qlik etc.  is a plus
Prior experience working in Customer experience, Operations, etc. is desirable",Data Analyst,Banking,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['python', 'Big Data', 'SQL', 'tableau', 'data analysis']",1 day ago,,89,5-12
Customer Data Analyst,Efftronics Systems,0 - 1 years,Not Disclosed,India,"Preparation of customer specific application programs for fault logics, maps, WOIS, RRI Testing, display boards, PMU, BMU. Analyze the data and arrive to the conclusions regarding the product health. Co-ordinates with the Service engineers at site.",Service Engineer,Electronics Manufacturing,"Customer Success, Service & Operations","Full Time, Permanent",After Sales Service & Repair,B.Sc in Computers,['customer data analyst'],1 day ago,,432,0-2
Data Analyst,GlobalLogic,1 - 3 years,"₹ 2,50,000 - 2,75,000 P.A.",Hyderabad/Secunderabad,"We offer:

Interesting and challenging work in a large and dynamically developing company
Exciting projects involving the newest technologies
Professional development opportunities
Excellent compensation and benefits package, performance bonus program
Modern and comfortable office facilities

Data Analysts shall perform one of three roles:

Map Data Creation or Map Data Updates or Map Data QA Data Review Data Curation
It is expected that Data Analysts will switch roles from time to time as the project requires
Perform map data creation, map data updates or map data QA on time with expected
quality.
Responsible for adherence to Apple provided specification and process


Requirements:

1-3 years of experience in 2D with Labelling and Annotation
LIDAR experience
Any Graduate with excellent written and verbal communication skills.
Creative problem-solving and analysis skills.
Attention to detail with the ability to complete a large volume of work quickly.
Very comfortable with navigating and using the Internet.
Team player with exceptional interpersonal and solution-oriented attitude.
Qualification:- Graduate
Job Location:- Hyderabad

Immediate Joiners only

If interested please fill out the below registration form
link:-https://forms.gle/wtjxipdn1naXZtbn9 (copy and paste the link in a new window to access)",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['2D', 'Lidar', 'labelling', 'Annotation', 'data analysis']",Just now,,308,0-2
Data Analyst - Python/Artificial Intelligence,Imindyourbusiness,0 - 2 years,Not Disclosed,Kolkata,"- Advanced Excel, word, PDF skills

- Ability to work quickly manipulating and analyzing data

- Ideally from a STEM background

- Genuine interest in Data and Artificial intelligence

- Python, C++ or VBA or SQL server experience is beneficial

- Keen interest in automation artificial intelligence or data science essential

- Italian Language is must.

- 0-2 years experience

- Until the Covid situation settles Work location is going to be remote .

- Candidates must have ability to work from home and also in a position to use their personal laptop during this period.",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization","['Python', 'Data Science', 'C++', 'VBA', 'Artificial Intelligence', 'Data Analyst', 'SQL Server', 'STEM']",6 days ago,,4232,0-2
Data Analyst - Python / Artificial Intelligence,Imindyourbusiness,0 - 2 years,Not Disclosed,Kolkata,"Key skills :

- Advanced Excel, word, PDF skills

- Ability to work quickly manipulating and analyzing data

- Ideally from a STEM background

- Genuine interest in Data and Artificial intelligence

- Python, C++ or VBA or SQL server experience is beneficial

- Keen interest in automation artificial intelligence or data science essential

- Italian Language is must.

- 0-2 years experience

- Until the Covid situation settles Work location is going to be remote .
- Candidates must have ability to work from home and also in a position to use their personal laptop during this period.",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization","['Python', 'Data Science', 'C++', 'VBA', 'Artificial Intelligence', 'Data Analyst', 'SQL Server']",6 days ago,,4315,0-2
Data Analyst,Applycup Hiring Solutions Llp,0 - 2 years,Not Disclosed,Chennai,"Qualification : B.Tech/M.Tech/M.E /B.E/MCA/BCA/M.Sc/B.Sc Experience : 0 - 2 Years
Skills : data analyst
Job Description :
- Analyse large and complex data sets from multiple sources
- Develop and evaluate data analytics models, algorithms and solutions
- Analyse the information, identify patterns and trends
- Understand/implement MI algorithms, performance tuning and reporting
- Implement algorithms to mine targeted data and the ability to convert data into a business story
- Translate business requirements into technical requirements
- Data extraction, preparation and transformation
- Identify, develop and implement statistical techniques and algorithms that address business challenges and adds value to the organisation
- Gather requirements and communicate findings in the form of a meaningful story with the stakeholders
- Create and implement data models
- Interact with clients for queries and delivery adoption

Candidate Profile :
- Candidates from the following Educational background :
BE/B.Tech, ME/M Tech, MSc, BSc/MSc Maths and Statistics, B Com, BCA, BSc CS, BSC IT, MSC IT, MCA
- Skills relating to Mathematics/Statistics.
- Graduate/Engineer/Post-Graduate with a huge interest in handling numbers
- Ability to understand all domains in businesses across various sectors
- Natural passion towards numbers, business, coding, Analytics and Artificial Intelligence, Machine Learning, visualization
- Good verbal and written communication skills
- Freshers who wish to start their career in Analytics
- Laterals who wish to up skill or change their domain to analytics and emerging technologies",Data Analyst,Recruitment / Staffing,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"BCA in Computers, B.Sc in Any Specialization, B.Com in Commerce, Any Graduate, B.Tech/B.E. in Any Specialization","['Performance tuning', 'Coding', 'Artificial Intelligence', 'Machine learning', 'Data Analyst', 'Data analytics', 'Analyst 3', 'Statistics', 'Analytics', 'Data extraction']",8 days ago,1.0,1570,0-2
Data Analyst I,ICE,0 - 2 years,Not Disclosed,Hyderabad/Secunderabad,"Job Purpose
Intercontinental Exchange (NYSE: ICE) is a Fortune 500 company that operates global markets and clearing houses, and delivers information and technology designed to help companies around the world manage risk, access information and raise capital. We serve customers in over 70 countries with a team of world-class employees. We recruit passionate, knowledgeable professionals and offer a collaborative, results-oriented environment where they help build innovative solutions to help our customers thrive in global markets.
At Intercontinental Exchange, our diverse team is working to create and improve technology that solves market structure challenges for market participants around the world. Whether it’s designing and managing the tech infrastructure for global trading and clearing or developing leading-edge market data solutions, our teams are a critical part of global markets.
As we continue to grow and expand, we’re looking for motivated, results-oriented professionals who share our entrepreneurial spirit and commitment to improving the global marketplace. We offer a comprehensive and competitive compensation and benefits package to ensure the health and financial security of our employees.
IDD (ICE Data Derivative) team is primarily focused on analyzing CDS and Bonds prices provided by real time traders. This role is pivotal to the data collection process. The data we maintain enables us to provide a variety of market trusted products to our clients.
We offer experience working in dynamic, professional, fast paced environment, friendly and multicultural colleagues and robust career progression.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of gender, civil status, family status, sexual orientation, religion, age, disability, race or membership of the travelling community.
Responsibilities
Candidates are required to help build and enhance the Bonds & CDs pricing data for our Derivative Business
Candidates are responsible for setting up securities, reference data to price the securities.
Seeking ways to improve current processes by leveraging the tools available to identify inefficiencies
Navigation of applications pertaining to work environment and operational requirements
Knowledge of basic data terms and terminology related to team’s functions
Expected to interact with external contacts on regular basis to procure required market information
Identify data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services;
Partner with various areas (Content Group, Quality Group, Product) to provide support for clients’ requests and challenges
Work with Data Collection and Product to achieve common goals of improving data quality, accuracy and timeliness
Knowledge and Experience
Candidate should have strong interpersonal, written, reading and oral communication skills as job requires them to interact with external contacts
Individual must have strong analytical and problem-solving skills
MBA Finance or equivalent PG from a reputed institute/college with 0-2 years of experience
Proficiency in Microsoft Office applications
Must be results-oriented, self-motivated and have the ability to thrive in a fast-pace environment
Strong analytical skills
Strong attention to detail and time management
Ability to automate processes using VBA and Macros is a plus
Schedule
This role offers work from home flexibility of up to 2 days per week.",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,B.Tech/B.E. in Any Specialization,"['Data analysis', 'data quality', 'macros', 'vba', 'Data management', 'Data Services', 'analytical skills', 'data collection', 'Microsoft Office applications']",14 days ago,,4789,0-2
